route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
766,0,766,,Express  -  Champlin - W River Rd - Mpls,3,https://www.metrotransit.org/route/766,,000000,123
768,0,768,,Express - Noble P&R - Mpls,3,https://www.metrotransit.org/route/768,,000000,124
774,5,774,,Plymouth - Express - Station 73,3,https://www.metrotransit.org/route/774,,000000,125
776,5,776,,Plymouth - Express - Southwest Plymouth,3,https://www.metrotransit.org/route/776,,000000,126
777,5,777,,Plymouth - Express - NW Plymouth - Station 73,3,https://www.metrotransit.org/route/777,,000000,127
781,4,781,,Maple Grove - Express - Maple Grove Station,3,https://www.metrotransit.org/route/781,,000000,128
784,4,784,,Maple Grove - Express - Maple Grove Sta - Dtw East,3,https://www.metrotransit.org/route/784,,,129
785,4,785,,Maple Grove - Express - Parkway Station,3,https://www.metrotransit.org/route/785,,000000,130
789,4,789,,Maple Grove - Express - Maple Grove Sta - U of M,3,https://www.metrotransit.org/route/789,,000000,131
790,5,790,,Plymouth - Express - Cub Foods - Four Seasons,3,https://www.metrotransit.org/route/790,,000000,132
795,5,795,,Plymouth - Express - Midday - Northeast Plymouth,3,https://www.metrotransit.org/route/795,,000000,133
801,2,801,,Brooklyn Ctr - Columbia Heights - Rosedale,3,https://www.metrotransit.org/route/801,,000000,134
804,2,804,,Northtown -Silver Lake - Old Hwy 8,3,https://www.metrotransit.org/route/804,,,135
805,2,805,,Anoka - Coon Rapids - Northtown,3,https://www.metrotransit.org/route/805,,000000,136
824,0,824,,Ltd Stop - Northtown - Monroe - University - Mpls,3,https://www.metrotransit.org/route/824,,000000,137
850,0,850,,Express - Riverdale P&R - Foley P&R - Mpls,3,https://www.metrotransit.org/route/850,,000000,138
852,2,852,,Express - Anoka - Coon Rapids - Northtown - Mpls,3,https://www.metrotransit.org/route/852,,000000,139
